20;2;SR;BT;3w;15;3
20;3;TT;re;3t;10;3
20;4;OD;HI;3y;8;3
21;1;PW;EN;3t;0;3
21;2;HD;MA;3w;4;3
21;3;BE;DA;3x;5;3
21;4;PL;DA;3y;0;3
22;1;BB;EN;3x;16;3
22;1;OA;Fy;3w;14;3
22;2;MD;Fy;3x;18;3
22;2;OD;HI;3y;17;3
22;3;OD;HI;3t;8;3
22;3;HD;MA;3w;10;3
22;4;HD;MA;3w;2;3
23;1;BB;EN;3x;16;3
23;2;TT;re;3w;10;3
23;3;TQ;SA;3x;17;3
23;3;PL;DA;3y;3;3
23;3;SR;BT;3w;11;3
23;4;ID;Bi;3y;8;3
24;1;KD;HI;3x;4;3
24;1;PW;EN;3t;15;3
24;2;BE;DA;3x;6;3
24;2;OD;HI;3y;16;3
24;3;SR;BT;3w;0;3
24;4;OD;ol;3x;2;3
25;1;KD;HI;3x;6;3
25;3;OD;ol;3x;17;3
25;3;PW;EN;3t;8;3
25;4;AP;HI;3w;13;3
26;1;LM;EN;3y;2;3
26;1;TT;re;3t;9;3
26;2;OA;fy;3t;5;3
26;3;OD;HI;3y;4;3
26;3;OA;Fy;3w;19;3
26;4;TQ;SA;3x;11;3
26;4;TT;re;3w;13;3
27;1;OA;Fy;3w;17;3
27;1;OD;HI;3t;14;3
27;2;PW;EN;3t;3;3
27;3;LM;EN;3y;13;3
27;3;SR;BT;3w;15;3
27;4;ID;Bi;3y;10;3
28;1;LM;EN;3y;18;3
28;2;OD;HI;3y;16;3
28;2;TQ;SA;3x;11;3
28;2;OA;fy;3t;13;3
28;3;SR;BT;3w;3;3
28;3;LM;EN;3y;1;3
28;4;OA;fy;3t;12;3
28;4;PW;DA;3w;1;3
29;1;TQ;SA;3x;17;3
29;1;PW;EN;3t;12;3
29;2;OD;HI;3t;9;3
29;2;TQ;SA;3x;13;3
29;3;PW;DA;3w;6;3
29;3;OD;ol;3x;15;3
29;4;AP;HI;3w;7;3
30;1;MD;Fy;3x;12;3
30;1;OA;fy;3t;5;3
30;2;PW;EN;3t;0;3
30;3;OD;ol;3x;14;3
30;4;AP;HI;3w;17;3
31;1;HD;MA;3w;16;3
31;1;OD;ol;3x;7;3
31;2;TT;re;3t;10;3
31;2;LM;EN;3y;14;3
31;3;KD;HI;3x;3;3
31;3;AP;HI;3w;5;3
31;3;LM;EN;3y;1;3
31;4;PL;DA;3y;5;3
31;4;TT;re;3t;6;3
31;4;KD;HI;3x;13;3
32;2;SR;BT;3w;7;3
32;2;OD;HI;3t;3;3
32;2;KD;HI;3x;18;3
33;1;OD;HI;3t;12;3
33;1;MD;Fy;3x;8;3
33;2;HD;MA;3w;18;3
33;4;PL;DA;3y;6;3
34;1;MD;Fy;3x;19;3
34;1;PW;DA;3w;9;3
34;2;MD;Fy;3x;7;3
34;3;BE;DA;3x;6;3
34;3;LM;DA;3t;2;3
34;4;LM;DA;3t;13;3
